|cust_id|join_date|phone_number|full_name|email|year
0|1|2019-08-07|84333605993|Michael Michalek|Michalek.Michael.1@yourcompany.com|2019
2|3|2019-06-30|84338262954|Ann Gow|Gow.Ann.3@yourcompany.com|2019
3|4|2019-09-06|84966068026|James Chen|Chen.James.4@yourcompany.com|2019
6|7|2019-01-05|84349251856|David Liff|Liff.David.7@yourcompany.com|2019
10|11|2019-10-07|84973180839|Otis Arnold|Arnold.Otis.11@yourcompany.com|2019
12|13|2019-09-15|84971262200|Kim Biddle|Biddle.Kim.13@yourcompany.com|2019
18|19|2019-02-13|84769789386|Anthony Herzog|Herzog.Anthony.19@yourcompany.com|2019
19|20|2019-09-23|84352351854|Barbara Daugherty|Daugherty.Barbara.20@yourcompany.com|2019
22|24|2019-04-04|84766048406|Juanita Nutter|Nutter.Juanita.24@yourcompany.com|2019
23|97|2019-09-02|84978909747|Stephanie Short|Short.Stephanie.97@yourcompany.com|2019
28|30|2019-01-25|84356077736|Christi Molina|Molina.Christi.30@yourcompany.com|2019
30|32|2019-06-06|84345936532|Franklin Johnson|Johnson.Franklin.32@yourcompany.com|2019
31|33|2019-07-23|84974404339|Lawrence Cummings|Cummings.Lawrence.33@yourcompany.com|2019
38|41|2019-01-01|841267025689|Elizabeth Herrington|Herrington.Elizabeth.41@yourcompany.com|2019
39|42|2019-05-21|841266394412|Ivan Johnson|Johnson.Ivan.42@yourcompany.com|2019
47|52|2019-01-23|84788187433|Roland Johnson|Johnson.Roland.52@yourcompany.com|2019
48|53|2019-03-28|84767490632|Elaine Jones|Jones.Elaine.53@yourcompany.com|2019
53|25|2019-07-16|84867037738|Arthur Branham|Branham.Arthur.25@yourcompany.com|2019
54|61|2019-05-05|84337633035|Judson Seymour|Seymour.Judson.61@yourcompany.com|2019
56|63|2019-06-01|84359188837|Eric Lehman|Lehman.Eric.63@yourcompany.com|2019
59|66|2019-12-09|84869366677|Florence Luallen|Luallen.Florence.66@yourcompany.com|2019
63|70|2019-05-18|841281598474|Ann Bufkin|Bufkin.Ann.70@yourcompany.com|2019
66|86|2019-06-11|84865639641|Yvette Hayden|Hayden.Yvette.86@yourcompany.com|2019
67|74|2019-08-19|84358777849|Timothy Wiley|Wiley.Timothy.74@yourcompany.com|2019
70|78|2019-04-21|84975190224|Lee Rutherford|Rutherford.Lee.78@yourcompany.com|2019
74|83|2019-07-28|841289951509|Frank Seymore|Seymore.Frank.83@yourcompany.com|2019
80|90|2019-03-14|841269583137|Tina Rissell|Rissell.Tina.90@yourcompany.com|2019
82|92|2019-11-05|841267874536|Patricia Coon|Coon.Patricia.92@yourcompany.com|2019
85|95|2019-06-08|84978281797|Kristen Shanahan|Shanahan.Kristen.95@yourcompany.com|2019
86|96|2019-08-16|84334555439|Ron Grollimund|Grollimund.Ron.96@yourcompany.com|2019
88|99|2019-06-12|841221343238|Elmer Miller|Miller.Elmer.99@yourcompany.com|2019
89|100|2019-08-22|841264626143|Frances Holland|Holland.Frances.100@yourcompany.com|2019
